url_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,brand_similarity,NoOfExternalRef,LineOfCode,HasSocialNet,IsResponsive,NoOfiFrame,label
20,1,0,0,0,1,0,0.47058823529411764,17,3590,1,1,1,1
16,1,0,0,0,1,0,0.5454545454545454,15,1867,1,1,0,1
17,1,0,0,0,1,0,0.3333333333333333,3,399,0,1,0,1
18,1,0,0,0,1,0,0.36363636363636365,20,300,0,1,0,1
20,1,0,0,0,1,0,0.42857142857142855,13,611,0,1,0,1
14,1,0,0,0,1,0,0.36363636363636365,102,197,1,1,1,1
18,1,0,0,0,1,0,0.36363636363636365,7,4676,1,1,1,1
18,1,0,0,0,1,0,0.3333333333333333,2,746,0,1,0,1
15,1,0,0,0,1,0,0.3333333333333333,51,8378,1,1,1,1
17,1,0,0,0,1,0,0.36363636363636365,29,564,1,1,0,1
18,1,0,0,0,1,0,0.2857142857142857,21,22,1,1,1,1
15,1,0,0,0,1,0,0.5,9,27,1,1,0,1
22,1,0,0,0,1,0,0.5333333333333333,31,43,1,1,0,1
17,1,0,0,0,1,0,0.4,0,1650,1,1,0,1
21,1,0,0,0,1,0,0.4,23,38139,0,1,0,1
20,1,0,0,0,1,0,0.5,19,5405,1,1,1,1
18,1,0,0,0,1,0,0.5454545454545454,9,7446,1,1,0,1
19,1,0,0,0,1,0,0.4,99,9245,1,1,0,1
17,1,0,0,0,1,0,1.0,4,156,0,0,0,1
22,1,0,0,0,1,0,0.47058823529411764,9,489,1,1,0,1
19,1,0,0,0,1,0,0.46153846153846156,0,938,0,1,0,1
21,2,0,0,0,1,0,1.0,2,156,0,0,0,1
20,1,0,0,0,1,0,0.4,0,77,0,1,0,1
20,1,0,0,0,1,0,0.47058823529411764,0,257,0,1,0,1
21,1,0,0,0,1,0,0.5,0,492,1,1,1,1
19,1,0,0,0,1,0,0.42857142857142855,14,1009,1,1,0,1
22,1,0,0,0,1,0,0.4,0,88,0,1,0,1
24,1,0,0,0,1,0,0.3157894736842105,128,3554,1,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,16,2647,1,1,1,1
16,1,0,0,0,1,0,0.3333333333333333,21,7253,1,1,1,1
22,1,0,0,0,1,0,0.5263157894736842,19,5599,1,1,0,1
18,1,0,0,0,1,0,0.4,44,353,1,1,0,1
15,1,0,0,0,1,0,0.25,10,1093,1,1,2,1
19,1,0,0,0,1,0,0.46153846153846156,13,604,1,1,0,1
23,1,0,0,0,1,0,0.4,48,489,1,1,1,1
30,1,0,0,0,1,0,0.38461538461538464,1,10,0,0,0,1
20,1,1,0,0,1,0,0.42857142857142855,16,9250,1,1,0,1
16,1,0,0,0,1,0,0.4444444444444444,3,334,0,0,0,1
23,1,0,0,0,1,0,0.5263157894736842,2,564,0,0,0,1
16,1,0,0,0,1,0,0.46153846153846156,8,1415,1,1,1,1
21,1,0,0,0,1,0,0.47058823529411764,8,3563,1,1,0,1
20,1,0,0,0,1,0,0.35294117647058826,23,192,1,1,0,1
25,1,0,0,0,1,0,0.5,2,46,0,1,0,1
19,1,0,0,0,1,0,0.5333333333333333,6,1805,1,1,2,1
22,1,0,0,0,1,0,0.5263157894736842,12,261,1,0,0,1
16,1,0,1,0,1,0,0.3333333333333333,5,284,1,1,0,1
20,1,0,0,0,1,0,0.6,3,57,0,1,0,1
20,1,0,3,0,1,0,0.375,0,39,1,1,0,1
16,1,0,0,0,1,0,0.4444444444444444,10,549,1,1,2,1
26,1,1,0,0,1,0,0.43478260869565216,15,1438,1,1,0,1
21,1,0,0,0,1,0,0.375,1,470,1,1,0,1
21,2,0,0,0,1,0,0.4,84,5704,1,1,0,1
18,2,0,0,0,1,0,0.4444444444444444,17,1145,1,1,0,1
22,1,0,0,0,1,0,0.3333333333333333,5,4100,1,1,0,1
20,1,0,0,0,1,0,0.3333333333333333,12,1038,1,1,0,1
21,1,0,0,0,1,0,0.5,11,150,1,1,1,1
21,1,0,0,0,1,0,0.47058823529411764,19,31,1,1,1,1
21,2,0,0,0,1,0,0.36363636363636365,0,64,0,1,1,1
18,1,0,0,0,1,0,0.46153846153846156,1,161,0,1,0,1
14,1,0,0,0,1,0,0.5714285714285714,5,886,0,1,0,1
18,1,0,0,0,1,0,0.4,29,92,1,1,2,1
23,1,0,0,0,1,0,0.47058823529411764,14,21,1,1,3,1
16,1,0,0,0,1,0,0.36363636363636365,29,823,1,1,0,1
24,1,0,0,0,1,0,0.42105263157894735,11,617,1,1,0,1
15,1,0,0,0,1,0,0.4,17,6474,1,1,0,1
16,1,0,0,0,1,0,0.3333333333333333,110,8823,1,1,0,1
19,1,0,0,0,1,0,0.375,0,17,0,1,0,1
19,1,0,0,0,1,0,0.36363636363636365,4,290,1,1,0,1
19,1,0,0,0,1,0,0.4,0,73,1,1,0,1
23,1,0,0,0,1,0,0.38095238095238093,10,2213,1,1,0,1
15,1,0,0,0,1,0,0.3076923076923077,16,1663,1,1,0,1
24,1,0,0,0,1,0,0.3333333333333333,10,22,1,1,0,1
20,1,0,0,0,1,0,0.4,1,5243,1,1,0,1
18,1,0,0,0,1,0,0.375,12,6,1,1,1,1
21,1,0,0,0,1,0,0.375,84,1309,1,1,0,1
21,1,0,0,0,1,0,0.42857142857142855,89,5972,1,1,0,1
20,1,0,0,0,1,0,0.5,8,176,1,1,0,1
21,1,0,0,0,1,0,0.4,4,37965,1,1,0,1
14,1,0,0,0,1,0,0.3333333333333333,3,1088,0,1,1,1
19,1,0,0,0,1,0,0.375,10,652,1,1,0,1
16,1,0,0,0,1,0,0.5,17,77,1,1,0,1
19,1,0,0,0,1,0,0.4,2,1273,1,1,1,1
15,1,0,0,0,1,0,0.3333333333333333,9,1639,1,1,0,1
24,1,0,0,0,1,0,0.36363636363636365,13,1736,1,1,1,1
14,1,0,3,0,1,0,0.0,102,340,0,1,0,1
19,1,0,0,0,1,0,0.375,11,18812,0,1,0,1
22,1,0,0,0,1,0,0.26666666666666666,8,4657,1,1,0,1
18,1,0,0,0,1,0,0.3076923076923077,15,1206,0,1,0,1
22,1,0,0,0,1,0,0.75,4,156,0,0,0,1
